id_proposta_ano	id_proposta	id_convenio	descricao_proposta	nome_programa	acao_orcamentaria	ano_proposta	data_proposta	ano_inicio_vigencia_convenio	ano_final_vigencia_convenio	intervalo_vigencia_dias	data_assinatura_convenio	data_publicacao_convenio	data_limite_prestacao_contas	situacao_proposta_grupo	dummy_existe_convenio	dummy_instrumento_assinado	situacao_proposta	modalidade	situacao_contratacao	dummy_instrumento_ativo	situacao_instrumento	dummy_instrumento_em_execucao	subsituacao_instrumento	indicador_obtv	data_inicio_execucao	data_saida_execucao	ano_data_inicio_execucao	ano_saida_execucao	valor_total_proposta	valor_repasse_uniao_proposta	valor_contrapartida_proposta	valor_total_instrumento	valor_repasse_uniao_instrumento	valor_contrapartida_instrumento	valor_empenhado_instrumento	valor_desembolsado_instrumento	saldo_remanescente_tesouro_instrumento	saldo_remanescente_convenente_instrumento	valor_rendimento_aplicacao_instrumento	valor_ingresso_contrapartida_instrumento	valor_saldo_instrumento	quantidade_termos_aditivos	quantidade_prorrogacoes	valor_total_original_instrumento	data_final_original	intervalo_original	dummy_emenda	valor_repasse_proposta_emenda	valor_repasse_emenda	emenda_impositiva	tipo_parlamentar	regiao_proponente	uf_proponente	municipio_proponente	nm_proponente	orgao_sup	orgao	natureza_juridica
2348/2016	1050899	827779	Fomentar atividades do Programa de Mestrado Profissional em Letras - PROFLETRAS	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-02-16	2016	2020	1461	2016-06-21	2016-06-24	2020-08-20	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1	Em aditivação	SIM	2016-06-22 10:22:40		2016		100000	99000	1000	100000	99000	1000	99563	99000				1000	65079	1		100000	2019-06-21	1095	0					Nordeste	RN	MOSSORO	FUNDACAO UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - FUERN	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
17403/2013	690970	783291	Constitui objeto desta proposta promover a oferta de quatro cursos com a temática da Educação a Distância que capacitarão 400 profissionais da Universidade Estadual de Mato Grosso do Sul (docentes, técnicos administrativos, gestores e tutores) visando a formação e qualificação de recursos humanos que atuarão nos cursos pertencentes ao sistema UAB para garantir a qualidade de ensino na oferta da Educação a Distância executada na instituição.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-04-01	2013	2015	730	2013-08-15	2013-09-09	2015-10-14	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2013-09-04 17:43:28		2013		125512	123505	2007	125512	123505	2007	123505	123505	85879	1396		2007	0			125512	2015-08-15	730	0					Centro-Oeste	MS	DOURADOS	FUNDACAO UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
48971/2014	904644	812026	Adquirir equipamentos e mobiliário para a infra-estrutura das Coordenações dos Cursos de Matemática e História bem como para as secretarias dos novos cursos de Especialização e para o Núcleo de Educação a Distância da UESPI.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-09-03	2014	2017	1095	2014-11-14	2015-03-31	2018-01-12	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2015-03-30 15:40:40		2015		149500	148000	1500	155632	148000	1500	148000	148000	8546	87	6132	4488	0	1		155632	2016-11-13	730	0					Nordeste	PI	TERESINA	FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
11586/2014	838328	802104	Implementação  dos  1º  e  2º  semestres  do  Curso  de Especialização em Educação Especial; b) 1º e 2º semestres do  Curso  de  Administração  Pública  �? 2ª  Oferta;  c)  5º  e  6º semestres  do  Curso  de  Administração  Pública;  d)  Custeio  do Núcelo  de  EaD/UAB  ano  de  2012;  e)  Custeio  do  Núcelo  de EaD/UAB ano de 2013.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-02-13	2014	2018	1462	2014-05-30	2014-06-06	2018-07-30	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2014-06-04 12:57:22		2014		1365917	1352258	13659	1365917	1352258	13659	1352258	1352258	708941	7161		13659	0	2		1365917	2016-05-31	732	0					Centro-Oeste	MS	DOURADOS	FUNDACAO UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
24013/2013	701613	795933	Estruturar o NEAD/UEL para a oferta de cursos no âmbito do Sistema Universidade Aberta do Brasil (UAB), contemplando 99 vagas disponibilizadas nos pólos de Diamante do Norte e Ubiratã.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-04-25	2013	2016	1114	2013-12-13	2014-02-24	2017-03-01	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2014-02-20 12:20:56		2014		206385	204321	2064	206385	204321	2064	204321	204321	115705	1169		2064	0	1		206385	2015-12-31	748	0					Sul	PR	LONDRINA	UNIVERSIDADE ESTADUAL DE LONDRINA	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
47771/2014	902066	811952	Aquisição de materias para laboratórios e de infraestrutura geral para núcleos e cursos no âmbito do Sistema Universidade Aberta do Brasil - UAB.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2014	2014-08-22	2015	2017	731	2015-05-22		2017-07-31	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2015-05-22 11:26:38		2015		148000	146520	1480	148000	146520	1480	0						0			148000	2017-06-01	731	0					Sudeste	MG	MONTES CLAROS	UNIVERSIDADE ESTADUAL DE MONTES CLAROS	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
1787/2013	670040	782374	Ofertar cursos no Âmbito da Universidade Aberta do Brasil: Bacharelado em Administração Pública, Especialização em Gestão Pública, Especialização em Gestão Pública Municipal, Especialização em Gestão em Saúde, Licenciatura Plena em Letras Espanhol, Licenciatura Plena em Letras Português, Licenciatura Plena em Letras Inglês, Licenciatura Plena em Pedagogia e Licenciatura em Ciências Biológica.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-02-24	2013	2019	2187	2013-10-04	2013-10-24	2019-11-29	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2013-10-22 16:09:26		2013		6276348	6213585	62763	6766669	6213585	62763	6213585	6213585			490321	62763	23544	5	1	6766669	2015-10-05	731	0					Nordeste	PI	TERESINA	FUNDACAO UNIVERSIDADE ESTADUAL DO PIAUI FUESPI	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
31360/2016	1111418	838439	ConsƟtui objeto deste Termo de Referência de fomento a inovação para o desenvolvimento e aplicação de Tecnologias de Informação e Comunicação em Educação (EDITAL No. 03/2015), projeto Sala Viva, no âmbito do Sistema Universidade Aberta do Brasil �?UAB, da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (CAPES), de acordo com as especificações, quanƟtaƟvos e condições constantes da planilha orçamentária em anexo a este Termo de Referência.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-10-19	2017	2021	1599	2017-06-16	2017-06-27	2021-12-31	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-06-16 17:45:33		2017		161042	158042	3000	166058	158042	3000	158042	158042			5016	3000	43057			166058	2021-11-01	1599	0					Nordeste	PE	RECIFE	FUNDACAO UNIVERSIDADE DE PERNAMBUCO	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
22050/2013	698336	782603	Implantação dos Cursos de Arte Educação, Pedagogia, Mídias na Educação, Administração Pública e Gestão em Saúde, Gestão Pública e Gestão Pública Municipal.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2013	2013-04-18	2013	2017	1461	2013-11-18	2013-11-26	2018-01-17	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em prestação de contas	0		SIM	2013-11-22 16:46:33		2013		3537059	3466318	70741	3854260	3466318	70741	3466318	3466318	17044	348	317201	71018	0	3		3854260	2015-11-18	730	0					Sul	PR	GUARAPUAVA	UNIVERSIDADE ESTADUAL DO CENTRO OESTE	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
28600/2016	1105261	871276	A presente proposta  tem por objeto a execução de um Programa em rede nacional de Pós-Graduação no Mestrado Profissional em Educação Física PROF-EDUCA�?�O FÍSICA, conforme política institucional de Pós-Graduação.  O Programa de Mestrado Profissional em Educação Física em Rede é um curso semipresencial com oferta nacional, realizado por uma rede de Instituições de Ensino Superior, no contexto da Universidade Aberta do Brasil (UAB), e coordenado pela Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP), Câmpus de Presidente Prudente. Este curso tem como objetivo de, a médio prazo, incrementar a formação do professor de Educação Física do ensino básico em todo o país. Trata-se de uma forma de atuação consistente com os objetivos da LDB, que incluem estimular a melhoria do ensino em todos os níveis. O Programa visa atender professores de Educação Física em exercício no ensino básico, especialmente na escola pública, que busquem aprimoramento em sua formação docente.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-09-06	2018	2022	1426	2018-07-05	2018-07-06	2022-07-30	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2018-07-05 14:02:48		2018		1274009	1261269	12740	1280209	1261269	12740	637005	637005			6200		637761			1280209	2022-05-31	1426	0					Sudeste	SP	SAO PAULO	UNIVERSIDADE ESTADUAL PAULISTA JULIO DE MESQUITA FILHO	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
10328/2016	1062152	836200	Fomentar o planejamento, custeio e execução da política institucional de pós-graduação, através do Mestrado PROFLETRAS.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-03-10	2017	2019	956	2017-05-19	2017-05-25	2020-02-29	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-05-22 14:41:01		2017		201899	199880	2019	201899	199880	2019	199880	199880				2019	146214	1		201899	2018-12-31	591	0					Centro-Oeste	MT	CACERES	FUNDACAO UNIVERSIDADE DO ESTADO DE MATO GROSSO	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
39068/2016	1130320	842763	Oferta de Curso Superiores em: Tecnologia, Licenciatura, Bacharelado e Formação Continuada em atendimento ao Edital nº 75/2014 CAPES, de oferta de vagas em cursos superiores na modalidade a distância no âmbito do Sistema Universidade Aberta do Brasil.	Programa Universidade Aberta do Brasil (UAB)	000020RJ	2016	2016-12-20	2017	2022	2129	2017-02-20	2017-06-14	2023-02-18	Aprovada	1	1	Proposta/Plano de Trabalho Aprovados	CONVENIO	Normal	1	Em execucão	1		SIM	2017-06-13 10:28:28		2017		4519976	4469976	50000	4519976	4469976	50000	2400000	2400000				50000	636313	1		4519976	2022-12-20	2129	0					Sul	PR	CASCAVEL	UNIVERSIDADE ESTADUAL DO OESTE DO PARANA	MINISTERIO DA EDUCACAO	FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR	Administração Pública Estadual ou do Distrito Federal
